read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
0004e4d4-d036-4919-aeaa-7190bf04133e	321	330	1000	236	28	9	57	8	10	2	4	7	1	4
00097d95-f60f-4dd2-9cbf-e4ae613b8217	310	315	1000	297	3	5	10	1	1	0	0	0	2	0
000e15d0-63a9-4e93-b25d-cf920ca8112b	230	240	1000	177	17	10	36	6	1	2	5	2	3	4
001031e9-40fb-47b0-aaf3-5dac6fb09080	467	497	1000	360	38	30	69	17	15	3	6	6	2	6
00138e5d-1217-4d7a-9161-31462c5cc4d9	366	378	1000	268	25	12	73	15	6	0	5	6	1	7
0017b3ed-76db-493e-ad5c-8dbf285927cc	255	260	1000	219	9	5	27	6	3	1	0	2	2	1
001b1145-7972-4478-878e-2184eba7798b	789	825	1000	576	82	36	131	25	30	7	8	18	7	12
001e8d2c-dad2-48eb-8828-37306357e784	191	198	1000	159	7	7	25	4	1	2	1	1	1	1
0022ccf6-dec0-4fd8-998e-1ea51c9a0c71	325	331	180	308	7	6	10	1	4	0	0	1	0	2
0029b399-8266-4275-b77b-01ae1fd8e9f2	380	397	1000	275	45	17	60	16	23	2	4	5	4	7
002f1c3a-07b9-445a-9fb4-88e9c972a672	264	277	1000	216	13	13	35	12	7	0	0	3	0	3
003295a4-28d5-4f0e-9272-7da7d8bb7763	497	520	1000	335	56	23	106	17	18	1	10	14	5	8
003875a2-b20e-49ae-b34d-4263af5c96cc	266	306	1000	167	34	40	65	11	9	2	4	8	4	7
0043f913-0229-4c0c-9a45-35fdbb84a641	313	329	1000	204	14	16	95	23	7	1	0	5	1	0
00482384-9eaa-41c3-848d-99b5cde0f675	266	281	1000	179	28	15	59	24	11	1	5	4	3	4
004c77d4-e593-4374-8474-05d23f18e59c	287	297	1000	266	6	10	15	2	3	1	0	1	1	0
004f5328-7bc2-449f-997a-90585c510977	324	346	1000	247	17	22	60	18	9	1	0	3	2	2
00578a06-27fe-4593-a890-516dff28c8bf	205	226	1000	173	12	21	20	5	5	0	2	1	2	2
005c8ecb-eb9c-49c9-b6a6-f1c5d32d690e	546	573	1000	402	49	27	95	13	14	7	6	12	4	6
0061c34b-806c-4795-92e4-a0deacfe8e1f	533	545	1000	331	42	12	160	43	17	4	4	11	1	5
0069191f-89e7-4f77-8fe3-87465d13f860	333	346	1000	306	3	13	24	8	2	0	0	0	0	1
0071f553-23d5-470b-b333-709d1ca599ad	360	375	1000	314	5	15	41	11	0	1	0	2	0	2
0078e02e-c0b2-4a4c-b0b7-14644a2e0148	276	305	1000	185	39	29	52	6	14	2	6	7	2	8
007dd3ed-8b42-4826-9cb9-f107b2c8a04e	473	489	1000	424	13	16	36	10	2	2	4	1	0	4
0082e24f-3d13-4b53-acc7-1f0adb52c1a2	417	482	1000	327	35	65	55	5	19	1	5	2	0	8
0086cae9-4b59-4516-b1b4-6f7cbde3da8d	322	341	1000	239	24	19	59	31	10	1	1	6	3	3
008dc62e-6500-4bef-a2c4-529279ce9c8c	334	343	1000	310	2	9	22	5	2	0	0	0	0	0
0092601c-91dd-46dc-ac7b-b5dc6f1d2cd6	769	802	1000	627	41	33	101	19	15	2	8	6	2	8
00977052-07c4-449e-9107-888ba2a898d3	235	239	1000	211	7	4	17	10	1	0	2	2	0	2
009b1220-ed72-4539-8bb3-73139e064fa3	285	289	1000	201	23	4	61	16	11	0	3	4	1	4
009fecf5-600a-4826-a44e-c65276ea4c15	216	221	624	204	5	5	7	1	1	1	1	1	0	1
00a1a3d3-a010-449b-bdfe-5bd1ba6a96a7	233	241	1000	215	4	8	14	1	2	0	0	2	0	0
00a852d6-86ef-4a64-afa9-86dcdcce2455	483	502	1000	372	36	19	75	12	12	2	3	9	1	9
