read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
0004e4d4-d036-4919-aeaa-7190bf04133e	321	405	1000	306	3	84	12	5	1	0	0	0	0	2
0005d4a2-3701-47e4-b6f3-f07fbc4db563	587	676	1000	555	3	89	29	12	1	0	0	0	0	2
0007aa97-aab4-4132-b47c-0d825dcb9519	313	330	1000	295	5	17	13	5	2	0	1	0	0	2
00095727-e369-44d4-8bc0-3a78640ee963	335	344	1000	310	6	9	19	6	1	0	1	2	0	2
00097d95-f60f-4dd2-9cbf-e4ae613b8217	310	402	1000	294	3	92	13	5	2	0	0	0	0	1
000bccee-eeb9-4a0d-a427-465ea688ae23	324	350	1000	299	9	26	16	5	5	0	1	2	0	1
000c25e6-d505-4bcb-bddf-402f43367d0d	254	269	1000	243	3	15	8	1	1	0	0	1	0	1
000d91c3-782e-423f-94b1-50b15e34251c	438	465	1000	397	14	27	27	7	4	0	1	3	1	5
000e15d0-63a9-4e93-b25d-cf920ca8112b	230	317	1000	213	9	87	8	4	2	3	0	1	3	0
000e47b2-1105-4441-90b6-8e324954fbe8	830	846	1000	793	7	16	30	11	3	0	1	1	0	2
000ecea3-7979-4d4d-82ff-ee46826fdcdb	618	649	1000	540	28	31	50	18	6	1	2	12	1	6
000fae2a-7ff2-443e-81f3-dde25ce9aa2a	845	888	1000	739	34	43	72	19	9	0	5	8	5	7
001031e9-40fb-47b0-aaf3-5dac6fb09080	467	498	1000	452	4	31	11	2	0	1	0	3	0	0
001098f1-f446-4aea-aa66-5a0d88ae377e	642	669	1000	626	3	27	13	7	1	0	0	1	0	1
0010c7a2-1c12-40c1-a1a2-e105b4b333cb	476	496	1000	452	9	20	15	3	3	0	1	1	1	3
00127dda-826c-4999-9890-accb4dd59784	333	349	384	317	4	16	12	2	3	0	0	0	1	0
00138e5d-1217-4d7a-9161-31462c5cc4d9	366	457	1000	347	6	91	13	1	3	1	0	0	0	2
0015aab0-d932-472f-8880-2efdc3079754	315	577	1000	303	5	262	7	2	3	1	0	0	0	1
0015bf49-1980-4411-a3c9-6d05f32301a3	334	433	1000	311	7	99	16	6	4	0	1	0	1	1
00165f66-68ef-41a3-a2d8-31171d1d2bb1	290	303	1000	278	4	13	8	3	2	0	0	2	0	0
0017b3ed-76db-493e-ad5c-8dbf285927cc	255	305	1000	236	5	50	14	4	2	0	0	1	2	0
0017d72c-3529-47c7-a619-7e48326db0de	450	461	1000	412	11	11	27	3	2	0	1	4	1	3
0017fa3c-b166-4d81-9b02-cac30ea33945	413	497	1000	391	8	84	14	4	4	0	0	1	0	3
0018cbae-ecfe-4c34-b5db-6924e5215bb1	465	499	1000	430	12	34	23	5	5	0	2	3	0	2
001b1145-7972-4478-878e-2184eba7798b	789	819	1000	754	19	30	16	8	4	0	1	5	2	7
001d1253-19b5-4184-b36e-aa56786e3603	362	380	1000	341	7	18	14	3	2	0	1	2	0	2
