read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
71d7d4bd-58bd-4bfa-83dc-c204871a4356	635	667	1000	543	32	32	60	14	14	1	2	9	0	6
71e8a80b-541c-4555-a899-a22400cbb970	480	593	1000	446	14	113	20	3	4	0	1	8	0	1
71eb7705-20b9-470c-96f1-0dc698cb8cb3	469	496	1000	428	8	27	33	8	4	0	0	0	0	4
71ee30fb-b99e-4900-bf01-c47eecbd79a3	497	525	1000	471	14	28	12	4	5	2	1	1	1	4
71f47ec9-1019-4076-83e1-f0a0177d7019	368	392	1000	333	5	24	30	13	1	1	1	2	0	0
71fc82ed-83c1-4fa5-87d6-577bb4c4f721	687	703	1000	649	11	16	27	11	3	1	1	3	0	3
71fdd00a-f7d5-415d-a84f-5d12de9c170b	434	469	1000	413	12	35	9	2	9	0	1	1	0	1
71ff20dc-1d6b-4cfa-97a5-ff69782448b6	670	699	1000	648	9	29	13	4	5	0	0	0	1	3
720e523a-5d31-42ff-a88e-6db5584910eb	359	375	1000	343	5	16	11	2	4	0	0	0	0	1
7210c039-6571-4cc7-90a0-201a226946da	356	366	1000	330	10	10	16	6	4	1	0	3	0	2
72285a82-fde5-42a1-86ea-b1b496a42e11	512	532	1000	480	7	20	25	7	5	0	0	0	1	1
72318fb9-2422-4f8f-a4a3-7283336db31e	770	802	1000	715	10	32	45	21	3	1	1	1	0	4
7238ad2b-642b-4d08-a068-be6d11082683	489	582	1000	455	10	93	24	0	4	0	1	0	3	2
7242f9e3-2147-4d62-8ea1-47864c5d4257	511	603	1000	476	7	92	28	8	2	0	3	2	0	0
725d2638-c0ba-424c-b25c-3970ecd1caa9	553	1014	1000	532	4	461	17	6	3	0	0	1	0	0
72681e75-1493-4a8b-99e2-61e83152e2e0	343	358	1000	314	9	15	20	4	3	0	1	3	1	1
7270bcfa-0640-4a77-bed9-49ef1e38c198	679	848	1000	631	13	169	35	5	6	0	0	2	0	5
72714463-1ade-4afb-ab82-dcc5ca7e2e43	238	248	1000	217	11	10	10	4	7	0	1	2	0	1
72789254-f3e6-430a-a70b-2a6d28ea2ce1	651	681	1000	609	12	30	30	11	5	0	1	4	0	2
727d4d3d-9641-4d20-a316-4ad767af80aa	329	345	1000	311	3	16	15	2	1	0	1	1	0	0
