read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
0004e4d4-d036-4919-aeaa-7190bf04133e	321	329	1000	236	29	8	56	5	11	2	4	7	1	4
0005d4a2-3701-47e4-b6f3-f07fbc4db563	587	609	1000	510	16	22	61	9	4	0	2	3	1	6
0007aa97-aab4-4132-b47c-0d825dcb9519	313	325	1000	272	5	12	36	13	2	0	2	1	0	0
00095727-e369-44d4-8bc0-3a78640ee963	335	355	1000	248	27	20	60	11	11	2	4	5	1	4
00097d95-f60f-4dd2-9cbf-e4ae613b8217	310	315	1000	297	3	5	10	1	1	0	0	0	2	0
000bccee-eeb9-4a0d-a427-465ea688ae23	324	340	1000	277	11	16	36	9	5	0	0	0	2	4
000c25e6-d505-4bcb-bddf-402f43367d0d	254	265	1000	189	22	11	43	7	10	0	5	4	1	2
000d91c3-782e-423f-94b1-50b15e34251c	438	458	1000	315	39	20	84	18	10	2	7	10	0	10
000e15d0-63a9-4e93-b25d-cf920ca8112b	230	240	1000	177	17	10	36	6	2	1	5	2	3	4
000e47b2-1105-4441-90b6-8e324954fbe8	830	872	1000	631	80	42	119	39	31	1	5	19	5	19
000ecea3-7979-4d4d-82ff-ee46826fdcdb	618	645	1000	417	54	27	147	36	10	10	10	12	4	8
000fae2a-7ff2-443e-81f3-dde25ce9aa2a	845	913	1000	530	95	68	220	50	19	4	17	32	7	16
001031e9-40fb-47b0-aaf3-5dac6fb09080	467	497	1000	360	38	30	69	17	15	3	6	7	2	5
001098f1-f446-4aea-aa66-5a0d88ae377e	642	667	1000	488	59	25	95	12	25	4	4	13	6	7
0010c7a2-1c12-40c1-a1a2-e105b4b333cb	476	496	1000	448	6	20	22	6	1	0	0	1	0	4
00127dda-826c-4999-9890-accb4dd59784	333	341	1000	288	9	8	36	7	4	0	1	2	1	1
00138e5d-1217-4d7a-9161-31462c5cc4d9	366	378	1000	268	25	12	73	15	6	0	5	6	1	7
0015aab0-d932-472f-8880-2efdc3079754	315	329	1000	250	19	14	46	12	6	1	2	3	0	7
0015bf49-1980-4411-a3c9-6d05f32301a3	334	351	1000	266	13	17	55	17	6	0	2	0	2	3
00165f66-68ef-41a3-a2d8-31171d1d2bb1	290	301	1000	233	16	11	41	14	5	0	1	1	0	9
0017b3ed-76db-493e-ad5c-8dbf285927cc	255	260	1000	219	9	5	27	6	4	0	0	3	1	1
0017d72c-3529-47c7-a619-7e48326db0de	450	468	1000	304	40	18	106	22	15	5	1	8	6	5
0017fa3c-b166-4d81-9b02-cac30ea33945	413	440	1000	308	31	27	74	13	11	0	3	7	3	7
