read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
71d7d4bd-58bd-4bfa-83dc-c204871a4356	635	675	1000	459	57	40	119	21	22	3	8	11	2	11
71e8a80b-541c-4555-a899-a22400cbb970	480	515	1000	329	75	35	76	5	19	11	7	21	3	14
71eb7705-20b9-470c-96f1-0dc698cb8cb3	469	490	1000	334	33	21	102	15	10	1	4	9	4	5
71ee30fb-b99e-4900-bf01-c47eecbd79a3	497	530	1000	361	45	33	91	13	23	0	4	8	6	4
71f47ec9-1019-4076-83e1-f0a0177d7019	368	375	1000	257	31	7	80	13	14	2	4	4	3	4
71fc82ed-83c1-4fa5-87d6-577bb4c4f721	687	713	1000	497	64	26	126	38	26	4	2	14	4	14
71fdd00a-f7d5-415d-a84f-5d12de9c170b	434	460	1000	300	38	26	96	19	15	2	2	6	4	9
71ff20dc-1d6b-4cfa-97a5-ff69782448b6	670	697	1000	496	61	27	113	27	34	1	3	12	1	10
720e523a-5d31-42ff-a88e-6db5584910eb	359	403	1000	259	36	44	64	8	11	1	8	6	3	7
7210c039-6571-4cc7-90a0-201a226946da	356	367	1000	245	37	11	74	11	2	1	0	14	7	13
72285a82-fde5-42a1-86ea-b1b496a42e11	512	539	1000	351	43	27	118	18	15	3	4	5	3	13
72318fb9-2422-4f8f-a4a3-7283336db31e	770	801	1000	534	64	31	172	61	24	4	5	11	7	13
7238ad2b-642b-4d08-a068-be6d11082683	489	518	1000	356	33	29	100	17	13	0	2	5	1	12
7242f9e3-2147-4d62-8ea1-47864c5d4257	511	539	1000	365	54	28	92	18	22	2	6	9	5	10
725d2638-c0ba-424c-b25c-3970ecd1caa9	553	574	1000	394	50	21	109	20	20	4	7	11	1	7
72681e75-1493-4a8b-99e2-61e83152e2e0	343	356	1000	232	36	13	75	8	15	4	6	3	5	3
7270bcfa-0640-4a77-bed9-49ef1e38c198	679	711	1000	502	58	32	119	15	24	2	7	6	4	15
72714463-1ade-4afb-ab82-dcc5ca7e2e43	238	253	1000	155	32	15	51	11	9	2	4	8	2	7
72789254-f3e6-430a-a70b-2a6d28ea2ce1	651	681	1000	472	60	30	119	26	22	4	5	11	3	15
727d4d3d-9641-4d20-a316-4ad767af80aa	329	359	1000	239	23	30	67	22	8	0	1	9	1	4
727e1ce8-f796-4821-9fba-1cda91d55d44	1453	1509	1000	979	146	56	328	78	51	8	18	39	8	22
727f6114-0d6c-4fbb-bb81-a369a42a438e	373	393	1000	277	30	20	66	10	15	1	3	3	4	4
728914e5-a151-412f-a385-01d985c5b5ff	356	400	1000	264	27	44	65	12	9	2	2	6	6	2
729228af-f3f4-4a22-8aa4-9c38c2fa0ec4	371	382	1000	258	37	11	76	18	13	1	1	12	3	7
7292cb22-a9dc-4a56-b6d2-2ff640cb11c5	799	836	1000	573	75	37	151	26	27	4	8	17	7	12
72944acf-983a-4a2b-a08d-75209fff04dc	488	521	1000	335	43	33	110	29	17	5	6	7	1	7
7294efab-efee-4060-96a6-33fabcb67cd6	326	343	1000	226	24	17	76	17	8	3	8	2	2	1
729bb0eb-5599-4c1d-80e4-20977f2cf0df	326	344	1000	224	27	18	75	29	9	1	5	4	1	7
72a8e86f-14fb-49b9-9204-eda66b40cd79	911	960	1000	660	102	49	149	20	41	6	9	26	5	15
