         2970116 function calls (2969162 primitive calls) in 6.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.679    6.679 {built-in method builtins.exec}
        1    0.000    0.000    6.679    6.679 <string>:1(<module>)
        1    0.000    0.000    6.679    6.679 decode_global_softmax_hek293.py:44(callback)
        1    4.808    4.808    6.652    6.652 beam_search_decoder.py:102(ctcBeamSearch)
   744930    1.223    0.000    1.391    0.000 beam_search_decoder.py:97(addBeam)
    24833    0.026    0.000    0.418    0.000 beam_search_decoder.py:37(sort)
    24834    0.158    0.000    0.340    0.000 {built-in method builtins.sorted}
   733322    0.182    0.000    0.182    0.000 beam_search_decoder.py:40(<lambda>)
   733322    0.168    0.000    0.168    0.000 beam_search_decoder.py:16(__init__)
   595944    0.031    0.000    0.031    0.000 beam_search_decoder.py:56(applyRNAModel)
        1    0.000    0.000    0.028    0.028 npyio.py:291(load)
        1    0.000    0.000    0.028    0.028 format.py:695(read_array)
    24833    0.027    0.000    0.027    0.000 beam_search_decoder.py:42(<listcomp>)
    24833    0.024    0.000    0.024    0.000 beam_search_decoder.py:39(<listcomp>)
        1    0.024    0.024    0.024    0.024 {built-in method _pickle.load}
        1    0.000    0.000    0.004    0.004 format.py:570(_read_array_header)
        1    0.000    0.000    0.004    0.004 format.py:529(_filter_header)
       21    0.000    0.000    0.004    0.000 tokenize.py:487(_tokenize)
    24833    0.004    0.000    0.004    0.000 beam_search_decoder.py:28(__init__)
       18    0.000    0.000    0.004    0.000 tokenize.py:147(_compile)
       18    0.000    0.000    0.004    0.000 re.py:232(compile)
       18    0.000    0.000    0.004    0.000 re.py:271(_compile)
        1    0.000    0.000    0.004    0.004 sre_compile.py:759(compile)
        1    0.000    0.000    0.002    0.002 sre_parse.py:913(parse)
     46/1    0.000    0.000    0.002    0.002 sre_parse.py:411(_parse_sub)
    175/1    0.001    0.000    0.002    0.002 sre_parse.py:469(_parse)
    24836    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 sre_compile.py:598(_code)
